10.0.0.1	22.04.01 08:59:59.999	0.4
10.0.0.3	22.04.01 09:00:03.026	0.5
10.0.0.1	22.04.01 09:00:05.060	0.9
10.0.0.2	22.04.01 09:00:06.083	0.4
10.0.0.3	22.04.01 09:00:08.057	0.9
10.0.0.4	22.04.01 09:00:08.092	0.3
10.0.0.5	22.04.01 09:00:09.098	12.4
10.0.0.1	22.04.01 09:00:10.053	1.5
10.0.0.2	22.04.01 09:00:11.023	0.7
10.0.0.4	22.04.01 09:00:13.013	0.8
10.0.0.3	22.04.01 09:00:13.997	1.2
10.0.0.5	22.04.01 09:00:14.037	15.8
10.0.0.1	22.04.01 09:00:15.028	1.6
10.0.0.2	22.04.01 09:00:16.023	1.3
10.0.0.4	22.04.01 09:00:18.004	1.1
10.0.0.3	22.04.01 09:00:18.014	1.7
10.0.0.5	22.04.01 09:00:18.995	22.4
10.0.0.1	22.04.01 09:00:19.989	2.5
10.0.0.2	22.04.01 09:00:21.098	1.6
10.0.0.3	22.04.01 09:00:23.014	2.3
10.0.0.4	22.04.01 09:00:23.045	1.8
10.0.0.5	22.04.01 09:00:24.032	25.2
10.0.0.1	22.04.01 09:00:25.038	3.6
10.0.0.2	22.04.01 09:00:26.023	2.4
10.0.0.4	22.04.01 09:00:28.039	2.3
10.0.0.5	22.04.01 09:00:29.043	30.5
10.0.0.1	22.04.01 09:00:29.989	3.5
10.0.0.2	22.04.01 09:00:31.010	3.5
10.0.0.4	22.04.01 09:00:33.045	3.7
10.0.0.3	22.04.01 09:00:33.049	3.7
10.0.0.5	22.04.01 09:00:34.032	39.8
10.0.0.1	22.04.01 09:00:35.039	4.6
10.0.0.2	22.04.01 09:00:36.039	3.6
10.0.0.4	22.04.01 09:00:38.004	3.2
10.0.0.3	22.04.01 09:00:38.014	3.2
10.0.0.5	22.04.01 09:00:39.038	39.8
10.0.0.1	22.04.01 09:00:40.058	5.2
10.0.0.2	22.04.01 09:00:41.022	4.8
10.0.0.4	22.04.01 09:00:43.049	5.3
10.0.0.3	22.04.01 09:00:43.099	5.3
10.0.0.5	22.04.01 09:00:43.995	59.3
10.0.0.1	22.04.01 09:00:45.012	7.2
10.0.0.2	22.04.01 09:00:46.078	4.6
10.0.0.3	22.04.01 09:00:48.030	5.2
10.0.0.4	22.04.01 09:00:48.045	4.8
10.0.0.5	22.04.01 09:00:49.062	85.3
10.0.0.1	22.04.01 09:00:50.012	8.7
10.0.0.2	22.04.01 09:00:51.098	8.6
10.0.0.4	22.04.01 09:00:53.002	7.2
10.0.0.3	22.04.01 09:00:53.087	9.3
10.0.0.5	22.04.01 09:00:54.089	99.9
10.0.0.2	22.04.01 09:00:56.032	9.6
10.0.0.3	22.04.01 09:00:58.099	8.3
10.0.0.5	22.04.01 09:00:59.059	108.2
10.0.0.4	22.04.01 09:00:58.997	9.2

